sample,ROI,FileName_cellmask,cellnumber,TLS,TIG,panel_type,RNApanel_ImageNumber
TBB075,ROI_001,20200819_ST_BCexh_H_TBB075_s0_p3_r1_a1_ac_ilastik_s2_Probabilities_mask.tiff,6305,no,TIG3,HIER,1
TBB075,ROI_002,20200819_ST_BCexh_H_TBB075_s0_p3_r2_a2_ac_ilastik_s2_Probabilities_mask.tiff,4737,no,TIG3,HIER,2
TBB075,ROI_003,20200819_ST_BCexh_H_TBB075_s0_p3_r3_a3_ac_ilastik_s2_Probabilities_mask.tiff,3620,no,TIG3,HIER,3
TBB075,ROI_004,20200819_ST_BCexh_H_TBB075_s0_p3_r4_a4_ac_ilastik_s2_Probabilities_mask.tiff,5282,yes,TIG3,HIER,4
TBB075,ROI_005,20200819_ST_BCexh_H_TBB075_s0_p3_r5_a5_ac_ilastik_s2_Probabilities_mask.tiff,5468,no,TIG3,HIER,5
TBB075,ROI_006,20200819_ST_BCexh_H_TBB075_s0_p3_r6_a6_ac_ilastik_s2_Probabilities_mask.tiff,4418,no,TIG3,HIER,6
TBB226,ROI_001,20200819_ST_BCexh_H_TBB226_s0_p3_r1_a1_ac_ilastik_s2_Probabilities_mask.tiff,6096,yes,TIG3,HIER,12
TBB226,ROI_002,20200819_ST_BCexh_H_TBB226_s0_p3_r2_a2_ac_ilastik_s2_Probabilities_mask.tiff,5348,yes,TIG3,HIER,13
TBB226,ROI_003,20200819_ST_BCexh_H_TBB226_s0_p3_r3_a3_ac_ilastik_s2_Probabilities_mask.tiff,5512,no,TIG3,HIER,14
TBB226,ROI_004,20200819_ST_BCexh_H_TBB226_s0_p3_r4_a4_ac_ilastik_s2_Probabilities_mask.tiff,5613,no,TIG3,HIER,15
TBB226,ROI_005,20200819_ST_BCexh_H_TBB226_s0_p3_r5_a5_ac_ilastik_s2_Probabilities_mask.tiff,5713,no,TIG3,HIER,16
TBB226,ROI_006,20200819_ST_BCexh_H_TBB226_s0_p3_r6_a6_ac_ilastik_s2_Probabilities_mask.tiff,5658,no,TIG3,HIER,17
TBB226,ROI_007,20200819_ST_BCexh_H_TBB226_s0_p3_r7_a7_ac_ilastik_s2_Probabilities_mask.tiff,3965,no,TIG3,HIER,18
TBB212,ROI_001,20200820_ST_BCexh_H_TBB212_s0_p3_r1_a1_ac_ilastik_s2_Probabilities_mask.tiff,5919,yes,TIG3,HIER,68
TBB212,ROI_010,20200820_ST_BCexh_H_TBB212_s0_p3_r10_a10_ac_ilastik_s2_Probabilities_mask.tiff,2574,no,TIG3,HIER,69
TBB212,ROI_002,20200820_ST_BCexh_H_TBB212_s0_p3_r2_a2_ac_ilastik_s2_Probabilities_mask.tiff,6014,yes,TIG3,HIER,70
TBB212,ROI_003,20200820_ST_BCexh_H_TBB212_s0_p3_r3_a3_ac_ilastik_s2_Probabilities_mask.tiff,7373,pre,TIG3,HIER,71
TBB212,ROI_004,20200820_ST_BCexh_H_TBB212_s0_p3_r4_a4_ac_ilastik_s2_Probabilities_mask.tiff,5379,yes,TIG3,HIER,72
TBB212,ROI_005,20200820_ST_BCexh_H_TBB212_s0_p3_r5_a5_ac_ilastik_s2_Probabilities_mask.tiff,2849,no,TIG3,HIER,73
TBB212,ROI_006,20200820_ST_BCexh_H_TBB212_s0_p3_r6_a6_ac_ilastik_s2_Probabilities_mask.tiff,4820,no,TIG3,HIER,74
