sample,ROI,FileName_cellmask,cellnumber,TLS,TIG,panel_type
TBB075,ROI_001,20200811_ST_BCexh_R_TBB075_s0_p3_r1_a1_ac_ilastik_s2_Probabilities_mask.tiff,6747,no,TIG3,RNAscope
TBB075,ROI_002,20200811_ST_BCexh_R_TBB075_s0_p3_r2_a2_ac_ilastik_s2_Probabilities_mask.tiff,5006,no,TIG3,RNAscope
TBB075,ROI_003,20200811_ST_BCexh_R_TBB075_s0_p3_r3_a3_ac_ilastik_s2_Probabilities_mask.tiff,3965,no,TIG3,RNAscope
TBB075,ROI_004,20200811_ST_BCexh_R_TBB075_s0_p3_r4_a4_ac_ilastik_s2_Probabilities_mask.tiff,5572,yes,TIG3,RNAscope
TBB075,ROI_005,20200811_ST_BCexh_R_TBB075_s0_p3_r5_a5_ac_ilastik_s2_Probabilities_mask.tiff,6005,no,TIG3,RNAscope
TBB075,ROI_006,20200811_ST_BCexh_R_TBB075_s0_p3_r6_a6_ac_ilastik_s2_Probabilities_mask.tiff,4459,no,TIG3,RNAscope
TBB111,ROI_001,20200812_ST_BCexh_R_TBB111_s0_p3_r1_a1_ac_ilastik_s2_Probabilities_mask.tiff,7386,no,TIG2,RNAscope
TBB111,ROI_002,20200812_ST_BCexh_R_TBB111_s0_p3_r2_a2_ac_ilastik_s2_Probabilities_mask.tiff,4220,no,TIG2,RNAscope
TBB111,ROI_003,20200812_ST_BCexh_R_TBB111_s0_p3_r3_a3_ac_ilastik_s2_Probabilities_mask.tiff,3513,no,TIG2,RNAscope
TBB111,ROI_004,20200812_ST_BCexh_R_TBB111_s0_p3_r4_a4_ac_ilastik_s2_Probabilities_mask.tiff,2391,no,TIG2,RNAscope
TBB111,ROI_005,20200812_ST_BCexh_R_TBB111_s0_p3_r5_a5_ac_ilastik_s2_Probabilities_mask.tiff,3612,pre,TIG2,RNAscope
TBB226,ROI_001,20200812_ST_BCexh_R_TBB226_s0_p3_r1_a1_ac_ilastik_s2_Probabilities_mask.tiff,7203,yes,TIG3,RNAscope
TBB226,ROI_002,20200812_ST_BCexh_R_TBB226_s0_p3_r2_a2_ac_ilastik_s2_Probabilities_mask.tiff,5919,yes,TIG3,RNAscope
TBB226,ROI_003,20200812_ST_BCexh_R_TBB226_s0_p3_r3_a3_ac_ilastik_s2_Probabilities_mask.tiff,5631,no,TIG3,RNAscope
TBB226,ROI_004,20200812_ST_BCexh_R_TBB226_s0_p3_r4_a4_ac_ilastik_s2_Probabilities_mask.tiff,5939,no,TIG3,RNAscope
